"","key","age_upon_intake","animal_id.x","animal_type.x","breed.x","color.x","Intake_Date","found_location","intake_condition","intake_type","name.x","sex_upon_intake","rank.x","age_upon_outcome","animal_id.y","animal_type.y","breed.y","color.y","date_of_birth","Outcome_Date","name.y","outcome_subtype","outcome_type","sex_upon_outcome","rank.y"
"61","A287017.2","14 years","A287017","Dog","Chihuahua Shorthair Mix","Black/White","2015-08-16T12:19:00.000","6620 Deatonhill Dr in Austin (TX)","Normal","Stray","Stitch","Spayed Female",2,"14 years","A287017","Dog","Chihuahua Shorthair Mix","Black/White","2001-05-13T00:00:00","2015-08-16T13:31:00","Stitch","","Return to Owner","Spayed Female",2
"62","A287217.1","12 years","A287217","Cat","Domestic Shorthair Mix","Black","2014-10-31T07:35:00.000","William Cannon/Westgate in Austin (TX)","Injured","Stray","Spider","Spayed Female",1,"12 years","A287217","Cat","Domestic Shorthair Mix","Black","2002-05-16T00:00:00","2014-10-31T13:06:00","Spider","","Return to Owner","Spayed Female",1
"63","A290917.1","11 years","A290917","Cat","Domestic Longhair Mix","Orange Tabby/White","2014-06-27T16:15:00.000","Austin (TX)","Normal","Owner Surrender","Sweet Pea","Spayed Female",1,"11 years","A290917","Cat","Domestic Longhair Mix","Orange Tabby/White","2002-10-15T00:00:00","2014-07-08T14:46:00","Sweet Pea","Partner","Transfer","Spayed Female",1
"64","A291843.1","15 years","A291843","Dog","Pit Bull Mix","Brown/Tan","2017-12-09T02:11:00.000","Austin (TX)","Normal","Public Assist","Toby","Neutered Male",1,"15 years","A291843","Dog","Pit Bull Mix","Brown/Tan","2002-09-23T00:00:00","2017-12-12T13:31:00","Toby","","Return to Owner","Neutered Male",1
"65","A292482.1","12 years","A292482","Cat","Domestic Shorthair Mix","Black/White","2014-07-05T12:42:00.000","Wheeler St And Hemphill Park in Austin (TX)","Normal","Stray","Clara","Spayed Female",1,"12 years","A292482","Cat","Domestic Shorthair Mix","Black/White","2001-11-01T00:00:00","2014-07-07T11:06:00","Clara","","Return to Owner","Spayed Female",1
"66","A293138.1","15 years","A293138","Cat","Domestic Shorthair","Blue Cream/Tortie","2017-04-20T17:20:00.000","3304 Webberville Rd in Austin (TX)","Injured","Stray","","Spayed Female",1,"15 years","A293138","Cat","Domestic Shorthair","Blue Cream/Tortie","2002-04-09T00:00:00","2017-04-26T12:54:00","","Partner","Transfer","Spayed Female",1
"67","A293383.1","15 years","A293383","Cat","Siamese","Lynx Point","2018-03-18T18:17:00.000","6005 Walnut Hills in Austin (TX)","Sick","Stray","Tarras","Neutered Male",1,"15 years","A293383","Cat","Siamese","Lynx Point","2002-10-05T00:00:00","2018-03-19T13:44:00","Tarras","","Return to Owner","Neutered Male",1
"68","A293634.1","12 years","A293634","Dog","Australian Shepherd Mix","Tricolor","2014-09-01T11:36:00.000","1706 City Park Road in Austin (TX)","Normal","Stray","Maddie","Spayed Female",1,"12 years","A293634","Dog","Australian Shepherd Mix","Tricolor","2001-09-27T00:00:00","2014-09-01T13:10:00","Maddie","","Return to Owner","Spayed Female",1
"69","A294132.1","12 years","A294132","Dog","Australian Shepherd Mix","Black/Brown","2013-10-25T18:27:00.000","Manor Rd/Rogge Ln in Austin (TX)","Normal","Stray","Jasper","Neutered Male",1,"12 years","A294132","Dog","Australian Shepherd Mix","Black/Brown","2001-01-29T00:00:00","2013-10-26T12:31:00","Jasper","","Return to Owner","Neutered Male",1
"70","A294728.1","11 years","A294728","Dog","Chow Chow/Labrador Retriever","Brown/Buff","2014-08-01T11:30:00.000","Mesa And Ranch Road 2222 in Austin (TX)","Normal","Stray","Mr Wiggles","Neutered Male",1,"11 years","A294728","Dog","Chow Chow/Labrador Retriever","Brown/Buff","2002-10-31T00:00:00","2014-08-01T15:59:00","Mr Wiggles","","Return to Owner","Neutered Male",1
"71","A295822.1","12 years","A295822","Cat","Domestic Longhair Mix","Black","2014-11-16T14:14:00.000","3404 Touch Stone St in Austin (TX)","Normal","Stray","Fuzzy","Spayed Female",1,"12 years","A295822","Cat","Domestic Longhair Mix","Black","2002-09-09T00:00:00","2015-05-09T18:47:00","Fuzzy","","Adoption","Spayed Female",1
"72","A297699.1","15 years","A297699","Dog","Australian Cattle Dog Mix","Red Merle","2017-11-20T08:11:00.000","Westgate in Austin (TX)","Aged","Stray","Sprocket","Neutered Male",1,"15 years","A297699","Dog","Australian Cattle Dog Mix","Red Merle","2002-10-23T00:00:00","2017-11-20T15:58:00","Sprocket","","Return to Owner","Neutered Male",1
"73","A298074.1","18 years","A298074","Dog","Parson Russell Terrier Mix","Black/White","2015-09-06T14:21:00.000","1801 Westridge in Austin (TX)","Normal","Stray","Stumpy","Spayed Female",1,"18 years","A298074","Dog","Parson Russell Terrier Mix","Black/White","1997-02-07T00:00:00","2015-09-07T11:40:00","Stumpy","","Return to Owner","Spayed Female",1
"74","A298677.1","13 years","A298677","Dog","German Shepherd Mix","Tan","2015-07-27T12:44:00.000","Manor (TX)","Sick","Euthanasia Request","Polly","Spayed Female",1,"13 years","A298677","Dog","German Shepherd Mix","Tan","2002-03-17T00:00:00","2015-07-27T13:59:00","Polly","Suffering","Euthanasia","Spayed Female",1
"75","A301824.1","13 years","A301824","Cat","Domestic Shorthair","Calico","2016-08-20T14:51:00.000","1601 Montopolis Dr in Austin (TX)","Aged","Stray","Ginger","Spayed Female",1,"13 years","A301824","Cat","Domestic Shorthair","Calico","2002-12-04T00:00:00","2016-10-10T19:09:00","Ginger","Partner","Transfer","Spayed Female",1
"76","A302820.1","10 years","A302820","Dog","German Shepherd Mix","Brown","2014-02-27T14:17:00.000","Austin (TX)","Normal","Owner Surrender","*Ladybug","Spayed Female",1,"11 years","A302820","Dog","German Shepherd Mix","Brown","2003-03-19T00:00:00","2014-07-25T10:30:00","*Ladybug","Foster","Adoption","Spayed Female",1
"77","A303591.1","16 years","A303591","Dog","Miniature Schnauzer/Yorkshire Terrier","Black/Tan","2016-11-03T12:24:00.000","2200 S Pleasant Valley Rd in Austin (TX)","Normal","Stray","Bear Bear","Neutered Male",1,"16 years","A303591","Dog","Miniature Schnauzer/Yorkshire Terrier","Black/Tan","2000-11-05T00:00:00","2016-11-11T10:56:00","Bear Bear","Partner","Transfer","Neutered Male",1
"78","A304036.1","13 years","A304036","Cat","Domestic Shorthair Mix","Brown Tabby/White","2015-06-06T14:34:00.000","18649 Dry Pond Drive in Pflugerville (TX)","Normal","Stray","Pepito","Neutered Male",1,"13 years","A304036","Cat","Domestic Shorthair Mix","Brown Tabby/White","2002-04-24T00:00:00","2015-06-14T16:09:00","Pepito","","Adoption","Neutered Male",1
